wl_weight,post_tx_weight,abo_weight,height_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,wl_model,post_tx_model,wl_cap,post_tx_cap,checks,match_alg_name,default,params_1
0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,1
0.15,0.15,0,0.15,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,2
0.15,0.15,0,0.2,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,3
0.15,0.15,0,0.25,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,4
0.15,0.15,0,0.3,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,5
0.15,0.15,0.05,0.05,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,6
0.15,0.15,0.05,0.1,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,7
0.15,0.15,0.05,0.15,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,8
0.15,0.15,0.05,0.2,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,9
0.15,0.15,0.05,0.25,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,10
0.15,0.15,0.1,0,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,11
0.15,0.15,0.1,0.05,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,12
0.15,0.15,0.1,0.1,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,13
0.15,0.15,0.1,0.15,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,14
0.15,0.15,0.1,0.2,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,15
0.15,0.15,0.15,0,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,16
0.15,0.15,0.15,0.05,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,17
0.15,0.15,0.15,0.1,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,18
0.15,0.15,0.15,0.15,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,19
0.15,0.15,0.2,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,20
0.15,0.15,0.2,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,21
0.15,0.15,0.2,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,22
0.15,0.15,0.25,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,23
0.15,0.15,0.25,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,24
0.15,0.15,0.3,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,25
0.15,0.2,0,0.05,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,26
0.15,0.2,0,0.1,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,27
0.15,0.2,0,0.15,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,28
0.15,0.2,0,0.2,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,29
0.15,0.2,0,0.25,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,30
0.15,0.2,0,0.3,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,31
0.15,0.2,0.05,0,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,32
0.15,0.2,0.05,0.05,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,33
0.15,0.2,0.05,0.1,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,34
0.15,0.2,0.05,0.15,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,35
0.15,0.2,0.05,0.2,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,36
0.15,0.2,0.05,0.25,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,37
0.15,0.2,0.1,0,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,38
0.15,0.2,0.1,0.05,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,39
0.15,0.2,0.1,0.1,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,40
0.15,0.2,0.1,0.15,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,41
0.15,0.2,0.1,0.2,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,Amended-CAS,FALSE,42
