mods_id,xi,omega,alpha,name,value,params_1,wl_weight,post_tx_weight,abo_weight,height_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,bio_weight,cost_weight,distance_weight,method
can_count,7336.625137421403,111.20730799677904,-0.9983152016802403,ov,ov,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
tx_count,4958.711088655805,78.30132120232481,-0.8711012585277375,ov,ov,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
wait_death,662.2937510064884,31.95702986125353,-0.38694699069580296,ov,ov,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
wld_ppy,16.180488717530544,0.7660285798478563,-0.5867154954358267,ov,ov,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
tx_ppy,116.30883800205319,5.17798748185885,1.2884465368422415,ov,ov,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
med_wlt,84.14709063859023,3.9132665833036735,-0.493168559295274,ov,ov,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
med_dist,199.64120754392547,8.301049856545985,2.5974170601443114,ov,ov,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
post_tx_death,581.6255845191454,30.962159798188903,0.9391963026419542,ov,ov,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
ptd_ppy,10.652626359292949,0.573980885093818,1.0093004771739411,ov,ov,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
can_count,1925.6600302739384,54.32975957524252,0.892779474347604,dx_grp,A,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
tx_count,1536.157531303223,52.117569082086106,1.241056875119217,dx_grp,A,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
wait_death,46.07836587723855,9.565278074378986,1.12463435221987,dx_grp,A,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
wld_ppy,3.0571044198263633,0.6365331302895418,1.1040274455779626,dx_grp,A,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
tx_ppy,99.7530365341518,6.577267417444176,1.4357998486098973,dx_grp,A,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
med_wlt,102.33147072285183,7.758879884645719,-0.5357626458510281,dx_grp,A,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
med_dist,206.79901897161304,11.9800069774108,1.2263283633818427,dx_grp,A,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
post_tx_death,181.7256096212018,16.795571415102998,0.840083397928258,dx_grp,A,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
ptd_ppy,9.898436794833508,0.9034917598515746,0.835011026038251,dx_grp,A,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
can_count,434.18830747778367,25.06265273212468,0.3942007229051611,dx_grp,B,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
tx_count,239.55872248493336,15.51670471669284,-0.25976300739219316,dx_grp,B,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
wait_death,39.41619236013966,8.799640225903932,1.0054883301793152,dx_grp,B,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
wld_ppy,12.521855641422908,3.26767872137003,1.262730260051758,dx_grp,B,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
tx_ppy,69.7724485165284,11.02591532510204,1.9690168526389464,dx_grp,B,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
med_wlt,102.15759088169098,14.938774635175992,1.3583525697357557,dx_grp,B,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
med_dist,167.64172635935526,26.165422553058995,-0.42800301267368646,dx_grp,B,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
post_tx_death,22.750441116608098,7.53849093203693,1.8164446158138456,dx_grp,B,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
ptd_ppy,8.846205065762529,3.063517778908599,2.037056578085342,dx_grp,B,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
can_count,576.8209773932964,33.40535064226754,1.1916286666362723,dx_grp,C,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
tx_count,427.8326258279544,27.70961113371309,1.212127238497675,dx_grp,C,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
wait_death,32.21221432225082,7.408018645931284,0.7848087100111737,dx_grp,C,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
wld_ppy,11.03537605674509,2.9646985500273924,1.090450059955376,dx_grp,C,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
tx_ppy,146.75176100234097,17.170999551729096,1.6946631854082503,dx_grp,C,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
med_wlt,64.00456240719592,8.953734511970062,1.2043409449133118,dx_grp,C,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
med_dist,202.29716524469404,21.486000450476865,-2.452607308407456,dx_grp,C,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
post_tx_death,37.787937810524376,7.97999277760292,0.9901155008140844,dx_grp,C,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
ptd_ppy,7.346786076628376,1.5948524740060732,1.062765374202295,dx_grp,C,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
can_count,4250.684697643027,81.6336017299603,0.5184943920247304,dx_grp,D,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
tx_count,2624.8446502122974,69.42132836949646,1.2220098241389017,dx_grp,D,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
wait_death,538.0438557900985,32.429522529509704,-0.8696130002311382,dx_grp,D,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
wld_ppy,26.589663107617977,1.4931991853417717,-0.7992120969137918,dx_grp,D,1,0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,NA,NA,NA,Amended-CAS
