wl_weight,post_tx_weight,abo_weight,height_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,wl_model,post_tx_model,wl_cap,post_tx_cap,checks,match_alg_name,params_1,default
0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,1,FALSE
0.15,0.15,0,0.15,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,2,FALSE
0.15,0.15,0,0.2,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,3,FALSE
0.15,0.15,0,0.25,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,4,FALSE
0.15,0.15,0,0.3,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,5,FALSE
0.15,0.15,0.05,0.05,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,6,FALSE
0.15,0.15,0.05,0.1,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,7,FALSE
0.15,0.15,0.05,0.15,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,8,FALSE
0.15,0.15,0.05,0.2,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,9,FALSE
0.15,0.15,0.05,0.25,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,10,FALSE
0.15,0.15,0.1,0,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,11,FALSE
0.15,0.15,0.1,0.05,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,12,FALSE
0.15,0.15,0.1,0.1,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,13,FALSE
0.15,0.15,0.1,0.15,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,14,FALSE
0.15,0.15,0.1,0.2,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,15,FALSE
0.15,0.15,0.15,0,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,16,FALSE
0.15,0.15,0.15,0.05,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,17,FALSE
0.15,0.15,0.15,0.1,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,18,FALSE
0.15,0.15,0.15,0.15,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,19,FALSE
0.15,0.15,0.2,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,20,FALSE
0.15,0.15,0.2,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,21,FALSE
0.15,0.15,0.2,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,22,FALSE
0.15,0.15,0.25,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,23,FALSE
0.15,0.15,0.25,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,24,FALSE
0.15,0.15,0.3,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,25,FALSE
0.15,0.2,0,0.05,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,26,FALSE
0.15,0.2,0,0.1,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,27,FALSE
0.15,0.2,0,0.15,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,28,FALSE
0.15,0.2,0,0.2,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,29,FALSE
0.15,0.2,0,0.25,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,30,FALSE
0.15,0.2,0,0.3,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,31,FALSE
0.15,0.2,0.05,0,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,32,FALSE
0.15,0.2,0.05,0.05,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,33,FALSE
