wl_weight,post_tx_weight,abo_weight,height_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,wl_model,post_tx_model,wl_cap,post_tx_cap,checks,params_1,match_alg_name
0.15,0.15,0,0.1,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,1,PRE_ABO_CAS
0.15,0.15,0,0.15,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,2,PRE_ABO_CAS
0.15,0.15,0,0.2,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,3,PRE_ABO_CAS
0.15,0.15,0,0.25,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,4,PRE_ABO_CAS
0.15,0.15,0,0.3,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,5,PRE_ABO_CAS
0.15,0.15,0.05,0.05,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,6,PRE_ABO_CAS
0.15,0.15,0.05,0.1,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,7,PRE_ABO_CAS
0.15,0.15,0.05,0.15,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,8,PRE_ABO_CAS
0.15,0.15,0.05,0.2,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,9,PRE_ABO_CAS
0.15,0.15,0.05,0.25,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,10,PRE_ABO_CAS
0.15,0.15,0.1,0,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,11,PRE_ABO_CAS
0.15,0.15,0.1,0.05,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,12,PRE_ABO_CAS
0.15,0.15,0.1,0.1,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,13,PRE_ABO_CAS
0.15,0.15,0.1,0.15,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,14,PRE_ABO_CAS
0.15,0.15,0.1,0.2,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,15,PRE_ABO_CAS
0.15,0.15,0.15,0,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,16,PRE_ABO_CAS
0.15,0.15,0.15,0.05,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,17,PRE_ABO_CAS
0.15,0.15,0.15,0.1,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,18,PRE_ABO_CAS
0.15,0.15,0.15,0.15,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,19,PRE_ABO_CAS
0.15,0.15,0.2,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,20,PRE_ABO_CAS
0.15,0.15,0.2,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,21,PRE_ABO_CAS
0.15,0.15,0.2,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,22,PRE_ABO_CAS
0.15,0.15,0.25,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,23,PRE_ABO_CAS
0.15,0.15,0.25,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,24,PRE_ABO_CAS
0.15,0.15,0.3,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,25,PRE_ABO_CAS
0.15,0.2,0,0.05,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,26,PRE_ABO_CAS
0.15,0.2,0,0.1,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,27,PRE_ABO_CAS
0.15,0.2,0,0.15,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,28,PRE_ABO_CAS
0.15,0.2,0,0.2,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,29,PRE_ABO_CAS
0.15,0.2,0,0.25,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,30,PRE_ABO_CAS
0.15,0.2,0,0.3,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,31,PRE_ABO_CAS
