wl_weight,post_tx_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,bio_weight,wl_model,post_tx_model,wl_cap,post_tx_cap,checks,match_alg_name,default,params_1
0.15,0.15,0.3,0.05,0.2,0.05,0.1,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,1
0.15,0.15,0.25,0.05,0.2,0.05,0.15,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,2
0.15,0.15,0.2,0.05,0.2,0.05,0.2,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,3
0.15,0.15,0.15,0.05,0.2,0.05,0.25,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,4
0.15,0.15,0.1,0.05,0.2,0.05,0.3,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,5
0.15,0.15,0.3,0.05,0.2,0.05,0.1,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,6
0.15,0.15,0.25,0.05,0.2,0.05,0.15,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,7
0.15,0.15,0.2,0.05,0.2,0.05,0.2,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,8
0.15,0.15,0.15,0.05,0.2,0.05,0.25,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,9
0.15,0.15,0.1,0.05,0.2,0.05,0.3,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,10
0.15,0.15,0.3,0.05,0.2,0.05,0.1,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,11
0.15,0.15,0.25,0.05,0.2,0.05,0.15,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,12
0.15,0.15,0.2,0.05,0.2,0.05,0.2,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,13
0.15,0.15,0.15,0.05,0.2,0.05,0.25,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,14
0.15,0.15,0.1,0.05,0.2,0.05,0.3,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,15
0.15,0.15,0.25,0.05,0.2,0.05,0.15,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,16
0.15,0.15,0.2,0.05,0.2,0.05,0.2,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,17
0.15,0.15,0.15,0.05,0.2,0.05,0.25,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,18
0.15,0.15,0.1,0.05,0.2,0.05,0.3,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,19
0.15,0.15,0.2,0.05,0.2,0.05,0.2,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,20
0.15,0.15,0.15,0.05,0.2,0.05,0.25,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,21
0.15,0.15,0.1,0.05,0.2,0.05,0.3,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,22
0.15,0.15,0.15,0.05,0.2,0.05,0.25,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,23
0.15,0.15,0.1,0.05,0.2,0.05,0.3,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,24
0.15,0.15,0.1,0.05,0.2,0.05,0.3,CAS23,CAS23,365,1826,FALSE,Supply CAS,FALSE,25
